Country Name	Country Code	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Afghanistan	AFG					4.401400089			5.565010071	6.422589779		9.145279884	12.99098015			10.9432497	11.07096958								14.85886002																									
Angola	AGO																																							34.37704086	34.09915161	33.64059067	33.21944046							
Albania	ALB																											92.08827972				97.43010712	97.05554199		94.95004272	93.79258728			97.20941925	92.6343689	91.32257843	88.32389832	93.62640381	98.31252289	88.29847717	105.1653976	102.9823074	104.6412201	104.833992	
Andorra	AND																																																	
Arab World	ARB	37.92142105	37.82186127	37.58724976	38.89559937	40.3199501	42.55295181	44.15859985	45.85602951	44.75949097	42.08061981	46.02384186	49.1919899	50.59468842	52.12598038	54.5028801	58.26060104	57.99901962	58.35184097	59.07693863	59.42411041	60.90177155	61.33506012	62.31718063	62.76654053	63.84608078	65.17240143	66.50003815	67.60845947	68.87004852	70.19567871	70.04775238	71.35112	72.70601654	75.0728302	77.15136719	77.68412018	76.64276886	78.71465302	80.37487793	79.89161682	81.65335846	82.70452881	84.35481262	82.28930664	82.78079224	82.48925018	81.66487885	81.85764313	
United Arab Emirates	ARE					32.60552979	40.58380127	44.55847168	52.38438034	55.53622055	61.7428093	66.32334137	69.93199158	76.72293091	77.38466644	76.31994629	71.49298096	75.90428925	77.06147003	74.39295197	80.22073364	87.6442337	94.04154968	93.44091034	91.78279877	91.28343964	89.23638916	85.48654175	87.54389191	85.63764191	85.06304169	81.57958221	78.14829254	79.25968933					97.95420837					94.60485077	98.34944153	102.9912262	107.0346603			
Argentina	ARG	73.97881317	74.6932373				81.91291046	81.67279053																				95.35021973	94.29741669	101.896492	98.84430695	98.90572357	98.64280701	102.6408234	100.3603821	98.93505859	97.01966095	99.25807953	101.9598999	104.9854507	104.7266006	104.3162918	104.1187973	102.7918625	100.3293076	101.2066498	100.8893433	102.7696381		
Armenia	ARM																																	94.08287811	89.72151184	99.18153381	93.23461914	94.9655304	103.4802475	106.8225632		96.47936249	95.53209686	95.69988251		96.50006104	95.52336121	91.29588318	92.16227722	
American Samoa	ASM																																																	
Antigua and Barbuda	ATG						79.19010162	76.05322266																78.38661194																94.42508698	88.34499359	93.45028687	87.33879852			84.27896118	74.70308685		79.68560791	
Australia	AUS																																																	
Austria	AUT		95.71383667	97.68052673	97.93560028																									100.7425613	101.1429062			99.84864044		98.29582977							96.20503235	97.15492249	96.91117859	98.80767059	99.77036285	99.59905243		
Azerbaijan	AZE																								98.07942963	91.61665344	95.12796021	85.85388947	97.25411987	94.49771881	91.76931763	85.49742889	93.98149872	100.9912262	90.24809265	94.85749817	89.6128006	90.931427	98.49185181	89.71559906	91.42843628	88.97885132	92.18356323	91.59458923	86.54667664	97.61051941	101.6183319	109.7202072	107.6183777	
Burundi	BDI		3.018909931		6.631340027	7.342319965	7.994379997	7.794809818	7.854949951	8.171250343	8.545880318	8.747260094	8.91135025	10.80879021	14.74050999	20.17155075	20.63188934	22.03565979	21.40616989	30.38611031	27.24558067	34.19567108	42.8250618	42.83692169	46.12559128							22.54682922	22.4964695	22.6684494	25.64517021	26.19014931	30.09082031		35.65895844	38.70919037	46.60689926	50.17287064	56.23310089	64.66670227	74.72942352	75.22812653	70.66457367	74.52028656	74.87082672	
Belgium	BEL					69.20464325	70.31040192	71.26571655	74.02082062	74.43074799	69.30526733	69.97360229	76.19699097	80.4278717	74.53455353	77.89627838	75.84951019	74.51908875	73.73841095	75.56976318			82.71797943																											
Benin	BEN		10.03629017	11.96335983	12.29549026	11.36728001	13.12827015	14.38663006	13.62222004	15.55473995	17.08526993	19.65253067	18.33161926	21.4445591	20.25564957	18.27642059	20.22237015	18.47147942	17.80018044	16.80736923	16.71563911	11.44952965	13.67123985	13.5991497	14.91378021	16.31611061	19.49254036	20.33333015	22.09300995	24.03697968		26.03679085	29.05467033	30.6940403	35.17987823	40.43289948				53.49988937		58.19506836	64.07581329	65.53871155	71.5521698	73.55197906	76.10684967	76.03179932		
Burkina Faso	BFA		4.74338007	4.602419853	4.921830177	5.016689777	5.547910213	5.447390079	6.354599953	6.354990005	6.863470078	6.722300053	7.290500164	7.522990227	8.205739975	9.477330208	10.10116005		11.58627033	12.41934967	12.17051029	14.23159981	15.12520981	21.70018959	19.46670914	20.49410057	15.28254032	18.03737068			19.20853996	20.87018967	21.61343956	22.8392601	24.79711914	26.16308975	27.46569061	28.8702507	30.68523026	34.31216812	40.44662094	44.11442184		56.03268051	62.51240921	62.71221924	63.55690002	64.06780243	66.35379028	
Bangladesh	BGD							28.38295937					21.93917084																								66.76474762			60.0657196	66.32305145	69.40338898							122.9727478	
Bulgaria	BGR																	100.6410522	102.1576233	102.8321533	102.1169968	99.11634827	91.26441193	87.26087952	85.88597107	88.31803894	87.75514221	90.39665222	94.25715637	93.34895325	94.86222076	95.71096039	100.6142197	95.87590027	96.67371368	98.18856049	99.05323029	99.44885254	100.8222809	94.02902985	101.9016571	113.7729568	110.0410538	101.3861465	98.43530273	98.12284851	97.07644653	94.33074188		
Bahrain	BHR													81.91488647	84.14321899	88.82141876	89.36850739	89.32013702	93.72104645	99.87428284	107.4236908		104.9586792	100.920929	98.83267975	96.45346069	96.73278809	94.08551788		95.69529724	99.20014954	99.21173096	98.85118103	100.9497986	100.2469101	105.3519821	104.7388229						91.9508667	93.63082123	93.00205231	96.41005707	100.3210678	103.0401001	100.6778107	
"Bahamas, The"	BHS																														84.36715698						107.5276184	102.124649	103.7232208	102.5166016	101.8576889	94.7857132						101.3061218		
Bosnia and Herzegovina	BIH																																																	
Belarus	BLR																								95.75	96.46222687	93.52606964	93.81398773	93.37255096		97.60967255	101.5054169	105.6459732	131.2833557	102.604332	100.2587738	95.77696991	95.28221893	94.8603363	98.32582092			106.6623688	103.0967331	99.39848328	98.29341125	96.520401	98.0947876	100.7794495	
Belize	BLZ																							93.56474304			89.43811798	95.0565033			98.02358246	97.37020111	102.0388336		99.14868164	97.62892914	97.86312103	95.98426819	101.4250488	95.54122925	101.2159729	98.27541351	104.6409073	109.0023117	101.5286636	100.7128296	103.6456985	105.9530029	102.7248688	
Bermuda	BMU						74.82639313																										94.73683929	104.6341476	102.9850693								83.62719727	78.39196014	88.25					
Bolivia	BOL																																										97.65527344	98.78256226	96.04863739	92.15563965	89.5583725	90.62496948	91.91678619	
Brazil	BRA																																																	
Barbados	BRB																														92.57028198	96.38735962	105.9292526	103.8902664	106.9964981	95.13297272	92.49111938	90.64115906	92.33193207	95.6359787	97.6869278	98.22006226	99.08798218							
Brunei Darussalam	BRN			104.7537231	104.0906601	111.6666718	93.79968262	106.6666718	101.8819885	106.330368	98.99569702	86.60838318	91.75946808	77.34710693	85.76779175	53.96697998		131.2647247											109.1399689	112.0337296	111.8548584	109.9019012	112.9838486	111.0741272	114.0535736	110.1979599	110.6682587	108.009491	107.4477463	105.3294296	101.8983612	104.5361404	110.088501	106.1794434	105.5870895	99.96987152	103.0033722		105.1569519	
Bhutan	BTN									4.235089779	4.801499844														20.31370926	25.09351921				40.77206039	44.84738159	46.05197144	46.92758179					71.55470276		81.41316986	84.42752075	92.67871094	91.18556976	99.9591217	97.58486938	100.5601501		102.7023163	99.45131683	
Botswana	BWA	37.98559952	44.22523117	51.1860199							76.2350235		89.98251343	92.87033081	83.87840271	83.65149689	90.22666168	99.39170837	101.1351166	96.64846039	95.45855713	96.76157379	96.646492	96.37004089	94.81726074	99.90650177	94.64186096	96.67333221		97.06970215	96.16600037	96.18527222	99.32743073	99.53874207	99.49797821	99.03513336	100.2338181	103.0523987	98.10272217	98.64549255	98.69396973			102.2969131	103.2948532					
Central African Republic	CAF		10.96177959	12.85647964	15.33677959	14.34554958	16.95285034	18.48747063		19.21946907			18.18678093	17.73461914	15.50269985			26.50342941	19.34737968	20.37825012	18.96912956	18.71273994	19.3203907	15.21189976												17.2822094	19.25638008	20.02762985		25.94322968	28.51197052	29.10172081	31.77326012	33.95552063				33.52613068		
Canada	CAN																													94.53279877	96.02977753	97.37869263																		
Central Europe and the Baltics	CEB																				94.63127899	93.27765656	91.1659317	91.07421112	91.48937225	91.83403015	92.4332428	94.77748871	96.83735657	96.47618103	95.90084839	96.23570251	97.66259766	96.84416962	97.31172943	98.68477631	97.44075775	96.0655365	95.32952881	94.27310181	95.40959167	96.74536896	96.84488678	95.78058624	96.35536957	96.14974976	97.11493683	97.41625977	97.43132782	
Switzerland	CHE								52.63824081	59.35707092	57.35675049	55.64846039	52.86442184	52.22906113	52.69800186	52.17341995	50.84447098	50.26092911	50.10948944	49.073349	50.69728851	51.59428024	53.8984108	55.76879883	60.53308868	61.62163925		72.92945862			96.87593079	98.04985046	98.70726776	99.27622223	99.77490234	100.6135788	97.98085785	94.93776703	94.17675018	95.10765839	97.51052094	97.53890228	97.60778809	98.5002594	97.13784027	96.10045624	96.784729	97.45343781		
Channel Islands	CHI																																																	
Chile	CHL	82.76117706	90.73258209	95.20838165	96.84013367	94.55132294	94.10133362	95.03838348	90.63752747						97.6939621																												94.39723206	96.62310791	95.22197723	95.408638	93.66435242	92.35037994	92.34020996	
China	CHN																											88.94647217	87.5134964									89.03338623	93.83612061	102.8014908	105.0775909	105.4886169	102.7138367		99.22651672					
Cote d'Ivoire	CIV				22.65785027	23.15752029		30.21040916	32.96107101	34.41294098	35.61943817	38.2456398	41.9478302		39.84695053	38.62575912	35.09983063	34.29333878	34.87322998	34.32249069	33.43613052	31.30360031	32.83868027	30.80151939	31.93551064	32.78794861	31.60987091	32.64783859	30.60168076	32.05675888		33.53319168	39.23484039					33.8190918	37.14493942		38.51779175		48.14315033	47.5990181	47.92831039	49.60367966	55.98654938	60.01916122	65.96286011	
Cameroon	CMR				38.9489212	38.9626503	41.0437088	42.88554001	44.43186188	54.2923317	46.19306946	45.54988098	46.0311203	45.6659317	46.24657059	47.8416214	49.31201935	49.68188858	51.41899872	50.24948883		54.89183044	51.59141922								45.19313049	47.10971832			53.58612823	54.80826187		48.02349854	50.4263382	65.80786133	65.57630157	67.79615784	67.06970978	70.90409851		70.28337097	72.16416168	71.41284943	66.49175262	
