Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7610397,97.15994263,88.69564819,89.80446625,92.29730225,92.81046295,87.88265228,94.53620911,93.35887909,92.27799225,98.43341827,91.78807831,,,92.03778839,100.8185501,,,,
Afghanistan,AFG,,,,,28.7542305,,,30.05999947,32.72262955,,43.35375977,52.23114014,,,25.04302025,26.27444077,,,,,,,,42.1322403,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.32490158,43.72977829,46.16259003,59.33964157,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,91.96320343,,,,96.73246765,96.71434021,,94.85769653,93.94438171,,,96.08680725,93.01312256,91.68937683,90.08753967,92.95420837,99.46669006,93.44676208,104.8522263,105.8293915,106.4913025,108.4764175,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,60.94384003,60.87215042,60.33518982,61.99531937,63.45944977,67.00839996,68.47409058,70.77783966,70.47955322,64.81018066,66.89177704,70.44216156,70.51387024,71.30075073,73.56884766,77.8079834,76.19999695,75.60568237,75.66124725,75.55602264,76.58696747,76.10910797,76.61180878,76.53269196,77.06549835,77.74401855,78.4418335,78.95781708,79.59210968,80.12937927,79.38964844,80.35202026,80.83825684,83.41343689,85.20736694,86.37760162,84.33789825,86.36463165,89.07501984,86.95166779,88.7495575,88.96733856,89.96357727,87.01992798,87.628479,86.8264389,86.39556885,86.57932281,
United Arab Emirates,ARE,,,,,44.66353989,41.74546814,52.44329834,59.05461121,63.54290009,67.20304108,67.5786972,72.22473145,84.0704422,82.30518341,77.42463684,74.49980164,73.44412994,73.21060181,72.58075714,81.4376297,91.55055237,98.03141785,95.57762909,92.27754211,90.34715271,88.42571259,84.26815033,86.16940308,83.29477692,81.27864838,78.24046326,74.53135681,80.97097778,,,,,96.39903259,,,,,95.38652039,95.71463776,98.67778778,103.4781876,,,
Argentina,ARG,67.5643692,68.54847717,,,,75.61203003,75.67845154,,,,,,,,,,,,,,,,,,,,91.93930054,90.126091,98.32888794,97.6088562,98.09367371,97.54679871,101.4394379,99.50121307,98.20292664,96.36109161,99.01242828,101.7488098,105.1389923,105.236763,105.2863388,104.7184601,103.6562424,101.4180908,102.3948288,102.0513763,102.1320877,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3494873,88.84554291,100.8652496,92.18653107,92.75881958,100.8046875,104.8899536,,92.80124664,92.33635712,92.35370636,,96.76338959,93.36519623,89.6000824,91.13247681,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
