Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23999.11428,25748.00441,26407.61433,27303.43229,28521.48713,28510.87711,28360.17362,30064.85538,30348.01804,30588.29198,32982.32601,32011.10353,30745.46731,31310.58613,34112.04475,35176.21223,36346.7893,37840.22908,38496.92658,34674.53902,33732.84387,35490.18398,35493.09606,37409.74073,38215.63765,38249.05144,38408.58313,39492.85908,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.9325057,909.6460996,906.4487731,1001.172169,1052.673989,1196.679103,1236.580511,1474.128696,1659.112751,1649.150373,1834.098535,1906.545896,1933.021141,1924.559715,1936.792072,1976.363239,
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2994.948443,3030.210421,2824.97352,2127.127244,2131.895543,2427.795665,2727.936456,2896.233888,2982.899676,3008.188118,3075.900376,3173.628204,3539.856932,3589.553751,3948.554181,4523.442861,5018.614699,5668.304706,6199.926557,6079.882431,6226.861178,6346.944372,6775.707055,6985.10594,7204.944915,7102.987587,6763.740564,6657.853891,
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.913231,1909.581994,1823.512777,2058.644109,2290.979335,2666.235743,2980.43233,2717.351109,3021.012132,3471.664873,3861.341965,4301.326333,4661.406337,4994.533295,5422.777931,5865.299606,6559.738866,7276.34725,8228.364871,8814.834988,9628.006807,10207.75352,10526.25533,10571.00749,11259.28982,11662.04493,11890.55389,12943.4455,
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6710.71121,6771.553033,7150.608845,7354.156211,7541.25045,7670.718922,7991.342268,8295.766336,8695.066379,8849.349193,9328.106541,9509.009476,9508.344709,9912.889096,10879.58995,11595.30942,12392.01734,12982.05312,13671.54518,13574.92505,14062.9888,14446.97175,15347.4731,15739.07213,16063.08502,16410.47303,16809.91642,16986.7333,
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71359.17039,70221.62913,70076.69117,68674.24746,71067.73084,73604.8515,75525.52365,79139.37629,76326.87819,75740.54424,81332.0105,80009.98938,78915.85682,82080.27411,84584.21477,81717.03166,80821.81728,74254.01208,68492.40846,58808.15224,56061.54037,58363.67822,60558.65311,63974.81483,67567.76111,71095.04519,73099.5789,74035.24746,
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7323.939773,8143.395043,8866.920282,9691.661066,10340.01575,10127.3679,10751.63997,11685.96563,12129.62405,11766.35007,11807.25173,11416.34225,10214.84239,11214.90325,12427.75643,13814.42681,15223.88984,16861.53241,17707.2282,16614.16737,18329.18211,19629.35185,19593.57691,20204.28338,19863.07396,20416.54818,20065.07531,20828.87632,
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.285475,2227.139489,1349.787058,1290.166109,1422.37131,1584.22349,1734.242625,1842.940002,2014.626177,2126.409172,2317.68656,2613.162743,3019.735415,3531.128381,4030.987996,4768.354334,5606.3118,6603.645303,7259.241358,6322.073945,6565.696219,7022.103943,7655.184056,8014.35911,8422.955236,8753.124458,8842.694757,9667.959344,
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10585.07461,11074.04435,11270.14352,11885.0744,12626.81462,12010.04925,12690.7034,13244.42317,13650.73412,14025.74987,14983.84554,14313.83246,14476.63514,15475.53932,16629.5873,18061.50719,20742.43981,22991.23491,23157.17541,20266.26369,18819.59464,18605.31659,19412.49527,19521.45739,20596.03922,21427.17732,22636.70817,23522.11803,
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17333.09656,17793.59849,18189.33568,19130.89259,20063.81283,20894.39721,21972.05265,22934.78601,24196.72128,25250.51285,26316.72708,27325.05115,28706.43781,29681.59771,31297.39771,32539.08157,34282.17289,36511.68504,37409.16307,40241.36782,39259.93701,41894.17305,42750.87308,45829.59338,46799.45387,46185.08534,47274.26138,49378.27964,
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19442.31204,20585.01931,21259.63675,21698.30767,22606.82964,23660.40861,24529.20783,25424.06993,26674.60955,27606.48303,29380.06604,29715.22222,31178.69333,32108.63255,33743.04471,35013.71404,37623.07576,39392.54059,41316.22518,40926.52376,42006.04688,44452.73275,46457.34578,47922.04912,48799.71547,49877.71331,51655.50309,53879.29785,
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5501.124949,5557.49596,4333.402494,3360.2359,2718.693291,2419.869036,2470.997884,2633.53196,2900.661435,3135.34781,3533.488324,3941.147053,4392.921866,4944.731276,5550.128142,7167.444877,9827.823991,12474.41629,13796.50314,14896.96381,15623.88778,15754.15236,16192.92874,17208.20312,17662.58972,17834.11605,17276.02986,17449.94008,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.768474,706.8591952,714.9119418,673.139284,649.8512964,601.5959376,556.1972159,550.2559745,575.6549254,570.0298608,567.0095941,577.8491035,595.924657,582.1039505,606.9998075,611.6598029,642.7589382,659.9242587,682.1532927,690.2766263,711.2273081,732.2629901,756.3914047,783.9717954,808.1312557,761.2555785,741.3504917,735.4502248,
