Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,,,,,,,,,1.011919975,0.992659986,0.999490023,0.989000022,0.97706002,0.952910006,0.963389993,0.967980027,0.98676002,1.005849957,1.00443995,1.014600039,1.008710027,1.021559954,,,,,,
Afghanistan,AFG,0.537329972,,0.360570014,0.430079997,0.471689999,,,,,,0,,0.543560028,0.405900002,0.548759997,0.575460017,0.570230007,0.58969003,0.613699973,0.630020022,0.668110013,0.674070001,0.660059988,0.658649981,0.651989996,,0.649800003,
Angola,AGO,,,,,,,,0.804139972,,,,,,,,,,0.818610013,0.809780002,0.765339971,0.620949984,,,,,,,
Albania,ALB,0.944400012,1.005169988,1.034379959,0.995090008,0.971069992,0.975199997,0.958239973,,0.955540001,0.962960005,0.973630011,,,0.966390014,0.964280009,0.970939994,0.982150018,0.984149992,1.000579953,0.986819983,0.979290009,0.969699979,0.95747,0.94569999,0.942780018,0.945469975,0.952170014,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,0.799419999,0.813189983,0.820729971,0.823870003,0.83743,0.822539985,0.845799983,0.856999993,0.868219972,0.877009988,0.885930002,0.894840002,0.902939975,0.906539977,0.91328001,0.91681999,0.919679999,0.922150016,0.923099995,0.924329996,0.922850013,0.929040015,0.929589987,0.930970013,0.93471998,0.935060024,0.935829997,
United Arab Emirates,ARE,1.036219954,1.036640048,1.035740018,1.019870043,1.005749941,,1.031319976,1.044989944,,,,,,,,,,,,,,,,,,0.952809989,,
Argentina,ARG,,,,,,1.025349975,1.028370023,1.017079949,1.031509995,1.024019957,1.025169969,1.024379969,1.027160048,1.031679988,1.035869956,1.042490005,1.048009992,1.050999999,1.047979951,1.035979986,1.039739966,1.03373003,1.030099988,1.029659986,1.02662003,1.018970013,,
Armenia,ARM,,,,,,,,,,1.071140051,,,,,,,1.006029963,0.995689988,0.98992002,0.995280027,1.007719994,,1.028920054,1.040169954,1.037870049,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,0.947229981,,,,,,,,,,,,,,,0.969609976,0.951690018,0.975929976,0.956619978,0.952409983,1.026200056,,0.962080002,0.976769984,,0.96232003,
Australia,AUS,,,1.000530005,0.996510029,0.995760024,0.997550011,1.019899964,,,,,,,,,,,,,,,,,,0.925260007,0.924979985,0.937179983,
Austria,AUT,0.946959972,0.946590006,0.951439977,0.955340028,0.955839992,0.960539997,0.965650022,0.961279988,0.966949999,0.969690025,0.969579995,0.964429975,0.963419974,0.963039994,0.966250002,0.969860017,0.968800008,0.965539992,0.965139985,0.968649983,0.970080018,0.971759975,0.973429978,0.972940028,0.973330021,0.971989989,0.968400002,
Azerbaijan,AZE,0.996630013,0.983900011,0.961260021,0.93900001,1.059910059,1.060050011,1.030290008,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,0.806590021,0.788990021,0.791010022,,,,,,,,,,0.783550024,0.800819993,0.816160023,0.858340025,0.868920028,,0.891560018,0.903259993,0.91821003,0.930499971,0.942009985,0.965309978,0.979210019,0.991580009,1.002329946,
Belgium,BEL,1.019299984,1.017099977,1.037469983,1.037940025,1.045320034,1.043359995,,,1.041759968,1.057279944,1.063420057,1.068310022,1.057520032,1.056550026,1.069919944,1.074749947,1.079810023,1.087859988,1.089609981,1.083389997,1.081900001,1.082509995,1.082190037,1.079849958,1.080549955,1.069659948,,
Benin,BEN,,,,,,,,,0.61461997,0.633329988,0.646290004,0.661450028,0.673150003,0.694509983,,,,,,,0.809689999,,0.834890008,0.847890019,0.859269977,0.877080023,,
Burkina Faso,BFA,,,,0.63894999,,,,,0.684109986,0.700230002,0.712759972,,0.737219989,0.766600013,0.782329977,0.799489975,0.817929983,0.839980006,0.856069982,0.877110004,0.893410027,0.914619982,0.936890006,0.94828999,0.960349977,0.971310019,0.982140005,
Bangladesh,BGD,,,,,,,,,,,,,,,1.054020047,1.056499958,1.065039992,1.086140037,1.060289979,1.086590052,,,,,,,1.117630005,
